CODIGO_CLIENTE;UF;IDADE;ESCOLARIDADE;ESTADO_CIVIL;QT_FILHOS;CASA_PROPRIA;QT_IMOVEIS;VL_IMOVEIS;OUTRA_RENDA;OUTRA_RENDA_VALOR;TEMPO_ULTIMO_EMPREGO_MESES;TRABALHANDO_ATUALMENTE;ULTIMO_SALARIO;QT_CARROS;VALOR_TABELA_CARROS;SCORE
1978;SP;48;Superior Completo;Divorciado;2;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
1979;MG;51;Segundo Grau Completo;Divorciado;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
1980;SC;53;Superior Cursando;Casado;2;Não;0;0;Não;0;9;Não;4800;1;50000;18
1981;PR;55;Superior Completo;Casado;2;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
1982;RJ;57;Segundo Grau Completo;Casado;3;Sim;0;0;Não;0;22;Não;3900;0;0;29
1983;SP;62;Superior Cursando;Casado;3;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
1984;RJ;65;Superior Completo;Viuvo;1;Não;0;0;Não;0;14;Sim;3100;2;40000;40
1985;SP;19;Superior Cursando;Solteiro;0;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
1986;MG;23;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
1987;SC;25;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
1988;PR;27;Superior Cursando;Casado;1;Não;0;0;Não;0;120;Não;9800;0;0;62
1989;RJ;28;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
1990;SP;30;Segundo Grau Completo;Divorciado;0;Sim;0;0;Não;0;80;Não;6100;2;48000;73
1991;MG;32;Superior Cursando;Solteiro;1;Não;1;280000;Não;0;12;Sim;9000;0;0;78
1992;SC;35;Superior Completo;Solteiro;1;Não;3;700000;Não;0;75;Não;17500;1;50000;84
1993;PR;42;Segundo Grau Completo;Casado;0;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
1994;RJ;45;Superior Cursando;Casado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
1995;SP;48;Superior Completo;Divorciado;2;Não;3;900000;Não;0;150;Não;18300;1;80000;98
1996;MG;51;Segundo Grau Completo;Divorciado;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
1997;SC;53;Superior Cursando;Casado;2;Não;0;0;Não;0;9;Não;4800;1;50000;18
1998;PR;55;Superior Completo;Casado;2;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
1999;RJ;57;Segundo Grau Completo;Casado;3;Sim;0;0;Não;0;22;Não;3900;0;0;29
2000;SP;62;Superior Cursando;Casado;3;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2001;RJ;65;Superior Completo;Viuvo;1;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2002;RJ;65;Superior Completo;Viuvo;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2003;SP;23;Segundo Grau Completo;Casado;3;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2004;MG;28;Superior Cursando;Casado;3;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2005;SC;30;Superior Completo;Viuvo;1;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2006;PR;32;Superior Cursando;Solteiro;0;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2007;RJ;35;Superior Completo;Solteiro;1;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2008;SP;42;Segundo Grau Completo;Casado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2009;MG;45;Superior Cursando;Casado;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2010;SC;48;Superior Completo;Divorciado;2;Não;0;0;Não;0;8;Sim;1800;0;0;12
2011;PR;51;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;9;Não;4800;1;50000;18
2012;RJ;53;Superior Cursando;Solteiro;1;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2013;SP;55;Superior Completo;Solteiro;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2014;MG;57;Segundo Grau Completo;Casado;0;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2015;SC;62;Superior Cursando;Casado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2016;PR;65;Superior Completo;Divorciado;2;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2017;RJ;19;Segundo Grau Completo;Divorciado;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
2018;SP;23;Superior Cursando;Casado;2;Não;0;0;Não;0;9;Não;4800;1;50000;18
2019;RJ;25;Superior Completo;Casado;2;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2020;SP;27;Segundo Grau Completo;Casado;3;Sim;0;0;Não;0;22;Não;3900;0;0;29
2021;MG;28;Superior Cursando;Casado;3;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2022;SC;30;Superior Completo;Viuvo;1;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2023;PR;32;Superior Cursando;Solteiro;0;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2024;RJ;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
2025;SP;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
2026;MG;45;Superior Cursando;Casado;1;Não;0;0;Não;0;120;Não;9800;0;0;62
2027;SC;48;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2028;PR;51;Segundo Grau Completo;Divorciado;0;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2029;RJ;53;Superior Cursando;Solteiro;1;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2030;SP;55;Superior Completo;Solteiro;1;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2031;MG;57;Segundo Grau Completo;Casado;0;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2032;SC;62;Superior Cursando;Casado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2033;PR;65;Superior Completo;Divorciado;2;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2034;RJ;19;Segundo Grau Completo;Divorciado;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
2035;SP;23;Segundo Grau Completo;Casado;3;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2036;RJ;25;Superior Cursando;Casado;3;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2037;SP;27;Superior Completo;Viuvo;1;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2038;MG;28;Superior Cursando;Solteiro;0;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2039;SC;30;Superior Completo;Solteiro;1;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2040;PR;32;Segundo Grau Completo;Casado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2041;RJ;35;Superior Cursando;Casado;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2042;SP;42;Superior Completo;Divorciado;2;Não;0;0;Não;0;8;Sim;1800;0;0;12
2043;MG;45;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;9;Não;4800;1;50000;18
2044;SC;48;Superior Cursando;Solteiro;1;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2045;PR;51;Superior Completo;Solteiro;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2046;RJ;53;Segundo Grau Completo;Casado;0;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2047;SP;55;Superior Cursando;Casado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2048;MG;57;Superior Completo;Divorciado;2;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2049;SC;62;Segundo Grau Completo;Divorciado;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
2050;PR;65;Superior Cursando;Casado;2;Não;0;0;Não;0;9;Não;4800;1;50000;18
2051;RJ;19;Superior Completo;Casado;2;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2052;SP;23;Segundo Grau Completo;Casado;3;Sim;0;0;Não;0;22;Não;3900;0;0;29
2053;RJ;25;Superior Cursando;Casado;3;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2054;SP;27;Superior Completo;Viuvo;1;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2055;MG;28;Superior Cursando;Solteiro;0;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2056;SC;30;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
2057;PR;32;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
2058;RJ;35;Superior Cursando;Casado;1;Não;0;0;Não;0;120;Não;9800;0;0;62
2059;SP;42;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2060;MG;45;Segundo Grau Completo;Divorciado;0;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2061;SC;48;Superior Cursando;Solteiro;1;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2062;PR;51;Superior Completo;Solteiro;1;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2063;RJ;53;Segundo Grau Completo;Casado;0;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2064;SP;55;Superior Cursando;Casado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2065;MG;57;Superior Completo;Divorciado;2;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2066;SC;62;Segundo Grau Completo;Divorciado;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
2067;PR;65;Segundo Grau Completo;Casado;3;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2068;RJ;19;Superior Cursando;Casado;3;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2069;SP;23;Superior Completo;Viuvo;1;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2070;RJ;25;Superior Cursando;Solteiro;0;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2071;SP;27;Superior Completo;Solteiro;1;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2072;MG;28;Segundo Grau Completo;Casado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2073;SC;30;Superior Cursando;Casado;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2074;PR;32;Superior Completo;Divorciado;2;Não;0;0;Não;0;8;Sim;1800;0;0;12
2075;RJ;35;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;9;Não;4800;1;50000;18
2076;SP;42;Superior Cursando;Solteiro;1;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2077;MG;45;Superior Completo;Solteiro;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2078;SC;48;Segundo Grau Completo;Casado;0;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2079;PR;51;Superior Cursando;Casado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2080;RJ;23;Superior Completo;Divorciado;2;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2081;SP;28;Segundo Grau Completo;Divorciado;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
2082;MG;30;Superior Cursando;Casado;2;Não;0;0;Não;0;9;Não;4800;1;50000;18
2083;SC;32;Superior Completo;Casado;2;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2084;PR;35;Segundo Grau Completo;Casado;3;Sim;0;0;Não;0;22;Não;3900;0;0;29
2085;RJ;42;Superior Cursando;Casado;3;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2086;SP;45;Superior Completo;Viuvo;1;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2087;RJ;48;Superior Cursando;Solteiro;0;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2088;SP;51;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
2089;MG;53;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
2090;SC;55;Superior Cursando;Casado;1;Não;0;0;Não;0;120;Não;9800;0;0;62
2091;PR;57;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2092;RJ;62;Segundo Grau Completo;Divorciado;0;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2093;SP;65;Superior Cursando;Solteiro;1;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2094;MG;19;Superior Completo;Solteiro;1;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2095;SC;23;Segundo Grau Completo;Casado;0;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2096;PR;25;Superior Cursando;Casado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2097;RJ;27;Superior Completo;Divorciado;2;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2098;SP;28;Segundo Grau Completo;Divorciado;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
2099;MG;30;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2100;SC;32;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2101;PR;35;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2102;RJ;42;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2103;SP;45;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2104;RJ;48;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2105;SP;51;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2106;MG;53;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
2107;SC;55;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
2108;PR;57;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
2109;RJ;62;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2110;SP;65;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2111;MG;19;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2112;SC;23;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2113;PR;25;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2114;RJ;27;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2115;SP;28;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2116;MG;30;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2117;SC;32;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2118;PR;35;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2119;RJ;42;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2120;SP;45;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2121;RJ;48;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2122;SP;51;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2123;MG;53;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2124;SC;55;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2125;PR;57;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2126;RJ;62;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2127;SP;65;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2128;MG;19;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2129;SC;23;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
2130;PR;25;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
2131;RJ;27;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
2132;SP;28;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2133;MG;30;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2134;SC;32;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2135;PR;35;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2136;RJ;42;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2137;SP;45;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2138;RJ;48;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2139;SP;51;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2140;MG;53;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2141;SC;55;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2142;PR;57;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2143;RJ;62;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2144;SP;65;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2145;MG;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2146;SC;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2147;PR;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2148;RJ;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2149;SP;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2150;MG;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2151;SC;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2152;PR;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
2153;RJ;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
2154;SP;45;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
2155;RJ;48;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2156;SP;51;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2157;MG;23;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2158;SC;28;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2159;PR;30;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2160;RJ;32;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2161;SP;35;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2162;MG;42;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2163;SC;45;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2164;PR;48;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2165;RJ;51;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2166;SP;53;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2167;MG;55;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2168;SC;57;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2169;PR;62;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2170;RJ;65;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2171;SP;19;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2172;RJ;23;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2173;SP;25;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2174;MG;27;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2175;SC;28;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
2176;PR;30;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
2177;RJ;32;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
2178;SP;35;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2179;MG;42;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2180;SC;45;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2181;PR;48;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2182;RJ;51;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2183;SP;53;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2184;MG;55;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2185;SC;57;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2186;PR;62;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2187;RJ;65;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2188;SP;19;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2189;RJ;23;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2190;SP;25;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2191;MG;27;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2192;SC;28;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2193;PR;30;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2194;RJ;32;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2195;SP;35;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2196;MG;42;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2197;SC;45;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2198;PR;48;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
2199;RJ;51;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
2200;SP;53;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
2201;MG;55;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2202;SC;57;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2203;PR;62;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2204;RJ;65;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2205;SP;19;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2206;RJ;23;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2207;SP;25;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2208;MG;27;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2209;SC;28;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2210;PR;30;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2211;RJ;32;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2212;SP;35;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2213;MG;42;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2214;SC;45;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2215;PR;48;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2216;RJ;51;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2217;SP;53;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2218;MG;55;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2219;SC;57;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2220;PR;62;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
2221;RJ;65;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
2222;SP;19;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
2223;RJ;23;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
2224;SP;25;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
2225;MG;27;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
2226;SC;28;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
2227;PR;30;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
2228;RJ;32;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
2229;SP;35;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
2230;MG;42;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
2231;SC;45;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2232;PR;48;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2233;RJ;51;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
2234;SP;23;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
2235;MG;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
2236;SC;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
2237;PR;32;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2238;RJ;35;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
2239;SP;42;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
